Rank,City,State,Population
1,New York,New York,"8,622,698"
2,Los Angeles,California,"3,999,759"
3,Chicago,Illinois,"2,716,450"
4,Houston,Texas,"2,312,717"
5,Phoenix,Arizona,"1,626,078"
6,Philadelphia,Pennsylvania,"1,580,863"
7,San Antonio,Texas,"1,511,946"
8,San Diego,California,"1,419,516"
9,Dallas,Texas,"1,341,075"
10,San Jose,California,"1,035,317"
11,Austin,Texas,"950,715"
12,Jacksonville,Florida,"892,062"
13,San Francisco,California,"884,363"
14,Columbus,Ohio,"879,170"
15,Fort Worth,Texas,"874,168"
16,Indianapolis,Indiana,"863,002"
17,Charlotte,North Carolina,"859,035"
18,Seattle,Washington,"724,745"
19,Denver,Colorado,"704,621"
20,Washington,District of Columbia,"693,972"
21,Boston,Massachusetts,"685,094"
22,El Paso,Texas,"683,577"
23,Detroit,Michigan,"673,104"
24,Nashville-Davidson,Tennessee,"667,560"
25,Memphis,Tennessee,"652,236"
26,Portland,Oregon,"647,805"
27,Oklahoma City,Oklahoma,"643,648"
28,Las Vegas,Nevada,"641,676"
29,Louisville/Jefferson County,Kentucky,"621,349"
30,Baltimore,Maryland,"611,648"
31,Milwaukee,Wisconsin,"595,351"
32,Albuquerque,New Mexico,"558,545"
33,Tucson,Arizona,"535,677"
34,Fresno,California,"527,438"
35,Sacramento,California,"501,901"
36,Mesa,Arizona,"496,401"
37,Kansas City,Missouri,"488,943"
38,Atlanta,Georgia,"486,290"
39,Long Beach,California,"469,450"
40,Omaha,Nebraska,"466,893"
41,Raleigh,North Carolina,"464,758"
42,Colorado Springs,Colorado,"464,474"
43,Miami,Florida,"463,347"
44,Virginia Beach,Virginia,"450,435"
45,Oakland,California,"425,195"
46,Minneapolis,Minnesota,"422,331"
47,Tulsa,Oklahoma,"401,800"
48,Arlington,Texas,"396,394"
49,New Orleans,Louisiana,"393,292"
50,Wichita,Kansas,"390,591"
51,Cleveland,Ohio,"385,525"
52,Tampa,Florida,"385,430"
53,Bakersfield,California,"380,874"
54,Aurora,Colorado,"366,623"
55,Anaheim,California,"352,497"
56,Honolulu,Hawaii,"350,395"
57,Santa Ana,California,"334,136"
58,Riverside,California,"327,728"
59,Corpus Christi,Texas,"325,605"
60,Lexington-Fayette,Kentucky,"321,959"
61,Stockton,California,"310,496"
62,St. Louis,Missouri,"308,626"
63,St. Paul,Minnesota,"306,621"
64,Henderson,Nevada,"302,539"
65,Pittsburgh,Pennsylvania,"302,407"
66,Cincinnati,Ohio,"301,301"
67,Anchorage,Alaska,"294,356"
68,Greensboro,North Carolina,"290,222"
69,Plano,Texas,"286,143"
70,Newark,New Jersey,"285,154"
71,Lincoln,Nebraska,"284,736"
72,Orlando,Florida,"280,257"
73,Irvine,California,"277,453"
74,Toledo,Ohio,"276,491"
75,Jersey City,New Jersey,"270,753"
76,Chula Vista,California,"270,471"
77,Durham,North Carolina,"267,743"
78,Fort Wayne,Indiana,"265,904"
79,St. Petersburg,Florida,"263,255"
80,Laredo,Texas,"260,654"
81,Buffalo,New York,"258,612"
82,Madison,Wisconsin,"255,214"
83,Lubbock,Texas,"253,888"
84,Chandler,Arizona,"253,458"
85,Scottsdale,Arizona,"249,950"
86,Reno,Nevada,"248,853"
87,Glendale,Arizona,"246,709"
88,Norfolk,Virginia,"244,703"
89,Winston-Salem,North Carolina,"244,605"
90,North Las Vegas,Nevada,"242,975"
91,Gilbert,Arizona,"242,354"
92,Chesapeake,Virginia,"240,397"
93,Irving,Texas,"240,373"
94,Hialeah,Florida,"239,673"
95,Garland,Texas,"238,002"
96,Fremont,California,"234,962"
97,Richmond,Virginia,"227,032"
98,Boise City,Idaho,"226,570"
99,Baton Rouge,Louisiana,"225,374"
100,Des Moines,Iowa,"217,521"
101,Spokane,Washington,"217,108"
102,San Bernardino,California,"216,995"
103,Modesto,California,"214,221"
104,Tacoma,Washington,"213,418"
105,Fontana,California,"211,815"
106,Santa Clarita,California,"210,888"
107,Birmingham,Alabama,"210,710"
108,Oxnard,California,"210,037"
109,Fayetteville,North Carolina,"209,889"
110,Rochester,New York,"208,046"
111,Moreno Valley,California,"207,226"
112,Glendale,California,"203,054"
113,Yonkers,New York,"202,019"
114,Huntington Beach,California,"201,874"
115,Aurora,Illinois,"200,965"
116,Salt Lake City,Utah,"200,544"
117,Amarillo,Texas,"199,826"
118,Montgomery,Alabama,"199,518"
119,Grand Rapids,Michigan,"198,829"
120,Little Rock,Arkansas,"198,606"
121,Akron,Ohio,"197,846"
122,Augusta-Richmond County,Georgia,"197,166"
123,Huntsville,Alabama,"194,585"
124,Columbus,Georgia,"194,058"
125,Grand Prairie,Texas,"193,837"
126,Shreveport,Louisiana,"192,036"
127,Overland Park,Kansas,"191,278"
128,Tallahassee,Florida,"191,049"
129,Mobile,Alabama,"190,265"
130,Port St. Lucie,Florida,"189,344"
131,Knoxville,Tennessee,"187,347"
132,Worcester,Massachusetts,"185,677"
133,Tempe,Arizona,"185,038"
134,Cape Coral,Florida,"183,365"
135,Brownsville,Texas,"183,299"
136,McKinney,Texas,"181,330"
137,Providence,Rhode Island,"180,393"
